"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene","pct.diff"
"C15orf48",3.51564075885876e-82,1.31538769720682,0.982,0.655,6.9546405491744e-78,"3","C15orf48",0.327
"IL1RN1",1.44729615843633e-79,1.19647243271961,0.944,0.446,2.86304126061874e-75,"3","IL1RN",0.498
"SDC2",5.21391531184078e-79,1.18039491033121,0.807,0.308,1.03141672698834e-74,"3","SDC2",0.499
"CCL3L3",8.29187498368227e-70,2.13423484983799,0.649,0.199,1.64029870927203e-65,"3","CCL3L3",0.45
"CCL3",6.00859230151346e-69,1.85023116777793,0.923,0.536,1.18861972908539e-64,"3","CCL3",0.387
"IL8",1.26986238930157e-67,1.24560788437078,0.993,0.703,2.51204177851637e-63,"3","IL8",0.29
"SPP1",8.23653999556872e-62,1.69785676144646,0.684,0.246,1.6293523419234e-57,"3","SPP1",0.438
"CXCL5",2.72744056053407e-61,2.00541428752714,0.46,0.095,5.39542291684849e-57,"3","CXCL5",0.365
"TNIP3",4.31794574844946e-61,0.984146700927251,0.4,0.068,8.54176027958272e-57,"3","TNIP3",0.332
"PLAUR1",1.73294711279936e-57,0.892982085468568,0.975,0.673,3.4281159785397e-53,"3","PLAUR",0.302
"MT2A",3.11804243529168e-57,1.57402101493516,0.814,0.415,6.168111545494e-53,"3","MT2A",0.399
"RAB13",2.69479987724866e-54,0.872744213316865,0.667,0.254,5.3308531171733e-50,"3","RAB13",0.413
"CLEC4E",6.71157412485537e-54,1.03442195054148,0.688,0.281,1.32768359337889e-49,"3","CLEC4E",0.407
"IL1B1",1.52922708406007e-53,1.14500823646934,0.926,0.562,3.02511701768762e-49,"3","IL1B",0.364
"SERPINA11",5.24972663687044e-53,0.775383971953913,0.923,0.55,1.03850092330571e-48,"3","SERPINA1",0.373
"CXCL3",6.05888159355461e-53,1.46984466668447,0.881,0.536,1.19856795683697e-48,"3","CXCL3",0.345
"PTGS2",9.95309567769036e-51,1.34507721717037,0.681,0.278,1.96892138696071e-46,"3","PTGS2",0.403
"CCL41",1.22276908630655e-50,1.67132707428061,0.821,0.408,2.41888180653162e-46,"3","CCL4",0.413
"G0S21",1.43353733970461e-50,0.990382656066516,0.954,0.583,2.83582356540367e-46,"3","G0S2",0.371
"SLAMF9",3.033462484763e-50,1.03293661653109,0.418,0.098,6.00079548735817e-46,"3","SLAMF9",0.32
"SAT1",2.71827481532792e-49,0.621010489797326,1,0.945,5.37729123968169e-45,"3","SAT1",0.055
"CD441",1.78880984136794e-48,0.733159955987333,0.965,0.682,3.53862362819407e-44,"3","CD44",0.283
"ANXA5",2.97538667258579e-48,0.727436602666677,0.944,0.748,5.88590991570921e-44,"3","ANXA5",0.196
"SLC39A8",9.53532330500686e-48,1.12613292325386,0.519,0.169,1.88627765619646e-43,"3","SLC39A8",0.35
"TNFSF15",2.0619623711624e-46,1.33769398846884,0.298,0.048,4.07897396263347e-42,"3","TNFSF15",0.25
"CCL201",8.8560804907934e-45,1.27845974550448,0.712,0.331,1.75190984268875e-40,"3","CCL20",0.381
"CLEC5A",1.26287312240055e-44,0.921804554563215,0.547,0.192,2.49821561073277e-40,"3","CLEC5A",0.355
"CXCL21",1.46356385984547e-44,0.892272793261688,0.944,0.599,2.8952220275463e-40,"3","CXCL2",0.345
"GAPDH",2.57654794796276e-44,0.616557936713035,0.982,0.936,5.09692715065992e-40,"3","GAPDH",0.0459999999999999
"FCER1G",2.7136641178681e-43,0.594625241360425,0.993,0.845,5.36817035796667e-39,"3","FCER1G",0.148
"BNIP3L",2.06350155855061e-41,0.868056761022639,0.751,0.412,4.08201878312481e-37,"3","BNIP3L",0.339
"AQP91",5.13726505968086e-41,0.816308034175401,0.653,0.28,1.01625377410607e-36,"3","AQP9",0.373
"CXCL1",2.74430781658377e-40,1.58520628020456,0.604,0.248,5.42878972276601e-36,"3","CXCL1",0.356
"MIF",5.52136489559589e-40,0.803014329696986,0.832,0.58,1.09223640364678e-35,"3","MIF",0.252
"ITGB8",7.54626319695687e-40,0.650417978677438,0.291,0.054,1.49280178562201e-35,"3","ITGB8",0.237
"MMP14",1.08821554145649e-39,0.692047783765592,0.537,0.189,2.15270798410924e-35,"3","MMP14",0.348
"SLC25A371",2.72297501439995e-39,0.815365293470981,0.656,0.297,5.38658917348598e-35,"3","SLC25A37",0.359
"NAMPT",5.35834257473242e-39,0.671116209470035,0.867,0.589,1.05998732813357e-34,"3","NAMPT",0.278
"TNFAIP6",6.43502640263034e-36,1.07283277807894,0.484,0.175,1.27297692296833e-31,"3","TNFAIP6",0.309
"FLT1",3.24301720549109e-35,0.675710845251317,0.277,0.056,6.41533663590247e-31,"3","FLT1",0.221
"MMP19",4.18388368719539e-35,0.78090063704921,0.6,0.268,8.27655871000992e-31,"3","MMP19",0.332
"BCL2A11",8.34555755044127e-35,0.582988195496049,0.933,0.613,1.65091819462829e-30,"3","BCL2A1",0.32
"SLC7A11",2.65198023922164e-34,0.795607773323393,0.414,0.132,5.24614730922824e-30,"3","SLC7A11",0.282
"EREG1",2.9332737222507e-34,0.622691128467612,0.849,0.463,5.80260207735633e-30,"3","EREG",0.386
"ERO1L",6.19800060298956e-32,0.713164348820177,0.4,0.136,1.2260884792834e-27,"3","ERO1L",0.264
"TREM11",9.31697588161406e-32,0.617722824782571,0.744,0.407,1.84308416890089e-27,"3","TREM1",0.337
"NINJ1",2.24464014259939e-31,0.625552312777355,0.874,0.617,4.4403471300901e-27,"3","NINJ1",0.257
"CD63",2.55982472191221e-31,0.531314366711622,0.961,0.815,5.06384526488674e-27,"3","CD63",0.146
"CTSL",1.62746979198615e-30,0.641985221618427,0.884,0.574,3.219460742507e-26,"3","CTSL",0.31
"BASP1",8.57151660082722e-30,0.740825604261591,0.705,0.401,1.69561741397564e-25,"3","BASP1",0.304
"TPI1",2.33357266577084e-29,0.521012163138381,0.884,0.759,4.61627344742787e-25,"3","TPI1",0.125
"C4orf3",2.52944051819396e-28,0.664443962539599,0.835,0.627,5.0037392330913e-24,"3","C4orf3",0.208
"RP11-701P16.5",2.03020606145018e-27,0.752993683244328,0.305,0.085,4.01615363076075e-23,"3","RP11-701P16.5",0.22
"ATP13A31",9.00203289872957e-27,0.65629455522847,0.639,0.362,1.78078214802668e-22,"3","ATP13A3",0.277
"SLC16A10",1.03871912057725e-26,0.640640316122386,0.523,0.251,2.05479416432591e-22,"3","SLC16A10",0.272
"BCAT1",1.14622433009242e-25,0.634900163280557,0.442,0.195,2.26746096978882e-21,"3","BCAT1",0.247
"GK1",4.13551108363756e-25,0.586334096242378,0.684,0.398,8.18086802565181e-21,"3","GK",0.286
"PPIF1",1.75496639010762e-24,0.565159112747075,0.775,0.492,3.47167451291089e-20,"3","PPIF",0.283
"PDE4DIP",3.51933973384536e-24,0.581979796493229,0.505,0.243,6.96195786149288e-20,"3","PDE4DIP",0.262
"PGK1",3.98093892997317e-24,0.541081724144937,0.804,0.613,7.87509339127293e-20,"3","PGK1",0.191
"SEC61G",8.35642125749344e-24,0.586802621326528,0.895,0.716,1.65306725315735e-19,"3","SEC61G",0.179
"RP11-290F20.31",1.46154290304602e-23,0.57335853714918,0.54,0.267,2.89122417080563e-19,"3","RP11-290F20.3",0.273
"PID1",5.79829463456936e-23,0.622096843070489,0.354,0.135,1.14701864461051e-18,"3","PID1",0.219
"KYNU",2.73803235759562e-22,0.50705397463007,0.709,0.469,5.41637560979565e-18,"3","KYNU",0.24
"RGCC",4.89427712048667e-22,0.618129975245854,0.804,0.559,9.68185899974673e-18,"3","RGCC",0.245
"SLC11A11",8.7870915853935e-22,0.562507946099229,0.551,0.287,1.73826245742254e-17,"3","SLC11A1",0.264
"PILRA",1.37748851421717e-21,0.609053700014613,0.474,0.238,2.7249477788244e-17,"3","PILRA",0.236
"IL1A",1.56332146030708e-21,0.746791610859308,0.389,0.159,3.09256251277947e-17,"3","IL1A",0.23
"ZFYVE16",1.81883923153129e-21,0.55485999067108,0.421,0.188,3.59802776781519e-17,"3","ZFYVE16",0.233
